label,loudness,acousticness,speechiness
1,-14.835,0.713,0.0444
1,-6.935,0.192,0.0319
1,-9.29,0.333,0.0292
1,-11.005,0.601,0.0429
1,-8.137,0.883,0.0351
1,-12.549,0.524,0.0439
0,-6.966,0.597,0.0607
1,-9.582,0.452,0.0568
1,-14.7,0.748,0.0556
1,-9.758,0.913,0.033
1,-6.448,0.53,0.296
1,-9.003,0.952,0.0408
1,-7.073,0.0399,0.0299
1,-10.683,0.954,0.0324
1,-6.428,0.359,0.0278
1,-6.576,0.706,0.101
0,-6.935,0.00329,0.0558
1,-10.297,0.0152,0.0315
1,-23.072,0.992,0.0497
0,-6.335,0.0178,0.416
1,-5.265,0.423,0.0578
0,-7.033,0.135,0.357
1,-10.022,0.615,0.335
0,-4.503,0.0235,0.336
1,-5.416,0.024,0.0484
1,-25.257,0.994,0.0552
1,-6.275,0.307,0.0278
0,-4.64,0.0503,0.103
0,-6.484,0.17,0.0739
1,-4.321,0.336,0.166
1,-10.913,0.36,0.0284
1,-14.283,0.829,0.0293
1,-22.533,0.983,0.0567
1,-6.662,0.671,0.105
0,-12.03,0.951,0.108
1,-27.385,0.962,0.0385
0,-5.161,0.515,0.049
0,-3.418,0.177,0.235
0,-1.455,0.12,0.251
0,-3.98,0.0284,0.103
0,-4.057,0.12,0.199
1,-4.034,0.022,0.0311
1,-6.539,0.0371,0.0367
0,-3.912,0.00897,0.0531
1,-15.419,0.271,0.0302
0,-9.288,0.263,0.105
1,-6.688,0.228,0.0366
1,-27.127,0.988,0.0483
0,-7.75,0.374,0.0291
1,-5.546,0.0767,0.0945
0,-4.273,0.253,0.0409
1,-7.976,0.712,0.0729
1,-10.577,0.763,0.049
1,-15.661,0.934,0.0289
1,-9.042,0.0469,0.0283
0,-9.031,0.548,0.0304
1,-10.743,0.618,0.0261
1,-8.136,0.682,0.0334
1,-6.047,0.543,0.0344
1,-19.465,0.816,0.0436
0,-5.566,0.0242,0.0286
1,-15.457,0.97,0.0424
1,-15.888,0.817,0.032
0,-6.581,0.00194,0.088
0,-4.364,0.00247,0.284
1,-5.322,0.227,0.0319
1,-12.787,0.813,0.0435
0,-3.014,0.00928,0.0368
1,-11.361,0.379,0.291
1,-17.979,0.993,0.046
1,-10.325,0.811,0.0431
1,-4.863,0.0091,0.0407
1,-4.793,0.0591,0.132
0,-3.823,0.017,0.0486
0,-5.805,0.0683,0.0502
1,-8.155,0.377,0.034
1,-11.871,0.772,0.0291
1,-9.047,0.328,0.0361
1,-14.205,0.953,0.0337
0,-4.639,0.00543,0.0567
1,-5.179,0.176,0.0335
1,-9.79,0.0744,0.0296
0,-2.776,0.137,0.0638
1,-9.042,0.0469,0.0283
0,-5.092,0.00609,0.0882
1,-6.132,0.00944,0.034
1,-9.538,0.0102,0.038
0,-2.204,0.402,0.0335
0,-4.324,0.346,0.0464
1,-6.041,0.00686,0.0523
0,-4.788,0.307,0.384
1,-7.831,0.284,0.0304
0,-4.511,0.0399,0.0917
0,-3.626,0.0183,0.0499
0,-4.25,0.0206,0.0278
1,-27.817,0.946,0.0427
0,-6.822,0.00689,0.108
1,-24.028,0.982,0.0433
1,-6.513,0.0235,0.0371
1,-5.763,0.152,0.0809
1,-6.035,0.22,0.0531
0,-5.115,0.11,0.0443
1,-7.273,0.586,0.141
1,-13.532,0.472,0.0395
1,-6.529,0.0126,0.0384
1,-8.502,0.00661,0.024
1,-2.749,0.00464,0.146
0,-5.784,0.409,0.041
1,-14.464,0.702,0.0615
1,-14.833,0.448,0.0361
1,-4.773,0.246,0.0362
0,-7.958,0.0148,0.08
1,-22.358,0.992,0.0633
0,-4.517,3.68e-06,0.0833
0,-3.36,0.168,0.0643
1,-9.958,0.741,0.231
0,-5.805,0.0558,0.402
0,-9.792,0.0627,0.227
1,-3.395,0.0242,0.0717
0,-6.518,0.00427,0.375
1,-27.456,0.688,0.04
0,-6.976,0.241,0.57
0,-2.507,6.34e-05,0.113
1,-7.732,0.764,0.0257
0,-2.711,0.00347,0.148
1,-6.989,0.108,0.0262
0,-4.115,0.00214,0.188
0,-6.957,0.0973,0.0514
1,-3.763,0.00347,0.0299
0,-7.345,0.311,0.0828
1,-4.033,0.687,0.0933
1,-4.966,0.373,0.0511
1,-8.138,0.616,0.0942
0,-7.202,0.0141,0.0353
1,-9.183,0.917,0.0442
0,-6.766,0.0246,0.0568
1,-2.373,0.000924,0.105
0,-6.567,0.0468,0.204
0,-3.51,0.0501,0.115
0,-10.744,0.578,0.323
1,-10.769,0.654,0.0359
1,-5.405,0.271,0.0532
1,-5.912,0.0205,0.0483
0,-8.559,0.0527,0.278
1,-7.809,0.0184,0.0574
1,-8.999,0.778,0.0345
0,-4.053,0.0226,0.191
1,-6.392,0.0913,0.0487
1,-7.999,0.887,0.0332
0,-3.783,0.087,0.0435
0,-4.713,0.00016,0.033
1,-7.273,0.586,0.141
1,-8.553,0.362,0.0403
1,-4.564,0.00541,0.118
1,-6.643,0.816,0.0324
1,-18.487,0.932,0.0438
1,-9.006,0.283,0.0311
0,-2.528,0.265,0.277
1,-10.175,0.291,0.0546
0,-4.746,0.0162,0.113
1,-9.099,0.695,0.0526
0,-6.379,0.00758,0.217
0,-2.024,0.000238,0.0806
0,-3.167,0.194,0.182
1,-7.949,0.541,0.028
1,-7.726,0.133,0.0353
1,-14.917,0.808,0.0539
0,-6.309,0.138,0.0624
1,-9.713,0.95,0.0906
0,-5.325,0.0321,0.0315
0,-5.436,0.101,0.209
1,-11.489,0.881,0.0599
1,-6.828,0.133,0.0341
1,-16.699,0.722,0.0349
0,-6.196,0.0254,0.155
0,-7.408,0.224,0.402
0,-4.593,0.0894,0.0496
0,-3.791,0.0117,0.244
0,-4.106,0.0662,0.142
1,-14.768,0.833,0.0408
0,-7.106,0.13,0.0516
1,-9.143,0.769,0.03
1,-6.375,0.00559,0.0373
1,-6.121,0.648,0.245
0,-3.406,0.37,0.049
0,-10.265,0.0511,0.0636
1,-9.352,0.812,0.0389
0,-8.219,0.129,0.0761
1,-10.548,0.68,0.428
1,-7.588,0.00403,0.0605
1,-11.735,0.876,0.0327
1,-7.403,0.0556,0.12
1,-10.512,0.925,0.0362
0,-5.278,0.0908,0.419
1,-7.352,0.729,0.0492
0,-8.407,0.000146,0.346
1,-7.641,0.00118,0.0307
0,-7.471,0.0946,0.284
0,-9.232,0.0044,0.199
0,-7.267,0.198,0.429
1,-9.495,0.885,0.0321
1,-8.312,0.273,0.0428
0,-4.182,0.11,0.268
1,-6.767,0.36,0.0352
0,-10.002,0.00213,0.0445
1,-8.125,0.203,0.0291
1,-8.897,0.846,0.0429
0,-17.074,0.455,0.446
1,-13.679,0.914,0.0285
1,-19.385,0.859,0.0484
1,-3.988,0.0267,0.035
1,-7.573,0.0513,0.0538
1,-8.722,0.357,0.0301
1,-6.89,9.16e-05,0.0368
1,-7.042,0.166,0.0349
0,-17.133,0.803,0.338
1,-4.776,0.0152,0.0362
1,-9.908,0.61,0.0685
0,-3.7,0.000459,0.0655
1,-5.402,0.0102,0.0289
0,-3.552,0.00118,0.0556
0,-2.364,0.00181,0.223
1,-9.114,0.214,0.0969
0,-4.251,0.0601,0.156
1,-8.132,0.41,0.411
1,-10.023,0.926,0.0693
1,-7.597,0.541,0.214
0,-2.31,0.0373,0.276
0,-4.083,0.246,0.0418
1,-7.23,0.175,0.0326
0,-4.608,0.0161,0.259
1,-4.941,0.00113,0.0458
0,-3.83,0.308,0.0335
1,-22.358,0.992,0.0633
1,-10.293,0.0662,0.0378
0,-13.357,0.652,0.721
1,-11.076,0.319,0.0315
0,-6.678,0.0323,0.0275
1,-10.334,0.44,0.0256
1,-9.703,0.785,0.0283
1,-7.378,0.117,0.0332
1,-22.509,0.99,0.0417
1,-15.245,0.478,0.0385
0,-12.572,0.0404,0.106
1,-8.099,0.01,0.0357
1,-3.533,0.000204,0.0906
0,-4.8,0.0785,0.185
1,-12.359,0.432,0.0387
1,-23.758,0.991,0.0618
0,-4.876,0.000234,0.121
1,-3.726,0.797,0.0453
1,-8.459,0.586,0.0462
0,-13.259,0.668,0.0382
1,-11.165,0.899,0.0824
0,-8.563,0.084,0.221
1,-10.427,0.852,0.0362
0,-1.737,0.14,0.164
0,-5.588,0.0717,0.422
0,-10.329,0.413,0.112
1,-7.231,0.1,0.0837
0,-6.672,0.0322,0.41
1,-20.153,0.834,0.044
1,-18.641,0.992,0.0399
0,-6.196,0.0254,0.155
1,-3.811,0.000969,0.0495
1,-4.461,0.0259,0.0321
1,-9.935,0.892,0.0323
0,-4.148,0.0516,0.271
0,-4.926,0.0553,0.172
1,-3.141,0.0112,0.0392
1,-7.009,0.232,0.0785
1,-9.228,0.554,0.068
0,-2.744,0.00778,0.291
1,-8.253,0.0325,0.026
1,-8.09,0.737,0.0344
1,-9.04,0.786,0.0291
1,-26.586,0.949,0.046
0,-4.002,0.0264,0.158
1,-11.472,0.677,0.0284
1,-9.23,0.572,0.0531
1,-9.749,0.721,0.036
1,-10.712,0.522,0.0851
0,-4.563,0.15,0.281
0,-3.869,0.142,0.0914
0,-4.142,0.0131,0.0417
1,-6.204,0.118,0.112
0,-10.114,0.679,0.0365
1,-8.307,0.0472,0.0463
1,-7.866,0.805,0.102
1,-7.985,0.324,0.0296
1,-10.188,0.856,0.116
1,-5.797,0.398,0.0415
0,-3.038,0.0192,0.0598
1,-11.46,0.444,0.0342
0,-4.426,0.0574,0.0642
1,-5.651,0.217,0.0317
0,-3.621,0.00503,0.067
1,-23.072,0.992,0.0497
0,-3.714,0.0714,0.035
1,-9.397,0.746,0.0349
1,-6.183,0.279,0.0641
1,-7.273,0.586,0.141
0,-7.254,0.0898,0.288
0,-8.342,0.589,0.038
1,-18.236,0.958,0.0327
1,-8.547,0.924,0.0426
1,-7.978,0.715,0.0332
0,-2.761,0.0208,0.0353
0,-4.962,0.477,0.03
0,-7.496,0.000339,0.118
0,-0.913,0.103,0.078
1,-19.543,0.99,0.0539
1,-6.52,0.545,0.0331
1,-6.85,0.558,0.031
0,-8.792,0.44,0.052
1,-3.145,0.112,0.0509
1,-17.398,0.923,0.0409
0,-7.878,0.326,0.0268
1,-5.848,0.217,0.0407
0,-3.51,0.0455,0.0936
1,-5.788,0.000363,0.0369
0,-7.197,0.368,0.0394
1,-11.406,0.853,0.0284
0,-4.239,0.0366,0.144
0,-3.271,0.175,0.235
1,-8.145,0.00758,0.0355
1,-10.169,0.938,0.135
0,-6.929,0.049,0.238
0,-0.533,0.0022,0.0605
0,-4.237,0.00496,0.143
1,-7.709,0.088,0.0297
1,-10.353,0.684,0.0319
1,-12.652,0.206,0.0389
1,-11.096,0.845,0.0279
0,-5.505,0.00293,0.0323
0,-3.468,0.0245,0.135
1,-8.188,0.0689,0.118
0,-5.173,0.0325,0.216
1,-6.997,0.741,0.0514
1,-26.074,0.926,0.0528
1,-7.537,0.826,0.0294
1,-4.512,0.208,0.0664
1,-6.215,0.0127,0.0627
1,-15.444,0.243,0.0289
0,-6.236,0.00204,0.312
1,-21.306,0.975,0.0514
1,-9.152,0.545,0.269
1,-8.559,0.466,0.0297
0,-5.436,0.274,0.0367
0,-4.56,0.0633,0.0581
0,-7.678,0.00582,0.409
0,-9.283,0.826,0.294
0,-2.756,0.129,0.102
1,-6.762,0.0522,0.0268
0,-4.659,0.000358,0.0407
1,-10.069,0.518,0.0421
1,-10.595,0.321,0.0338
1,-3.657,0.0682,0.103
0,-6.206,0.0793,0.169
0,-3.657,0.498,0.336
0,-8.396,0.0335,0.204
0,-12.05,0.525,0.458
1,-8.22,0.77,0.0445
1,-11.629,0.944,0.0337
1,-10.741,0.743,0.0292
0,-6.699,0.794,0.302
0,-7.267,0.598,0.233
1,-7.359,0.797,0.032
0,-1.319,0.0746,0.327
1,-4.75,0.0341,0.039
0,-7.896,0.547,0.0265
1,-10.954,0.685,0.0368
1,-15.947,0.836,0.0434
1,-11.307,0.22,0.0498
1,-8.162,0.434,0.133
1,-5.45,0.293,0.0812
1,-13.008,0.971,0.0466
1,-8.79,0.0283,0.0354
1,-5.063,0.0388,0.0722
0,-12.435,0.823,0.0675
1,-7.968,0.0186,0.0378
1,-6.699,0.336,0.0375
1,-14.035,0.713,0.0497
0,-4.67,0.000742,0.0718
0,-17.41,0.764,0.233
0,-6.941,0.467,0.0311
0,-6.638,0.602,0.0363
1,-14.778,0.848,0.0304
1,-22.938,0.981,0.0484
0,-4.656,0.05,0.227
0,-5.132,0.182,0.207
0,-10.103,0.559,0.0589
1,-2.663,0.00855,0.0289
0,-6.098,0.284,0.333
1,-6.008,0.52,0.0492
0,-2.608,0.0012,0.0599
1,-14.706,0.833,0.034
1,-16.837,0.937,0.0339
1,-6.748,0.574,0.0371
1,-10.054,0.652,0.0328
1,-5.691,0.14,0.0331
1,-11.696,0.886,0.0359
0,-7.442,0.0236,0.12
1,-12.597,0.729,0.0438
1,-8.127,0.466,0.438
1,-10.355,0.809,0.125
1,-13.296,0.699,0.0267
0,-4.512,0.000378,0.0417
1,-23.571,0.992,0.0432
0,-8.003,0.0195,0.0681
1,-24.419,0.993,0.0488
1,-10.794,0.183,0.062
0,-3.071,0.455,0.0336
1,-8.185,0.145,0.0414
0,-4.939,0.0682,0.206
0,-3.047,0.0384,0.239
1,-8.596,0.457,0.0432
0,-7.648,0.396,0.319
1,-7.509,0.555,0.0651
1,-21.133,0.968,0.0455
0,-5.972,0.00146,0.173
1,-9.25,0.784,0.0331
1,-6.062,0.529,0.0261
1,-10.723,0.508,0.149
1,-6.54,0.00987,0.0316
0,-7.622,0.0278,0.252
0,-5.132,0.182,0.207
0,-6.446,0.0234,0.0446
1,-7.106,0.573,0.105
1,-7.917,0.566,0.0493
1,-11.334,0.8,0.0358
1,-12.012,0.767,0.0311
1,-6.751,0.541,0.0376
0,-5.157,0.144,0.082
1,-10.067,0.804,0.0417
0,-6.277,0.0662,0.312
1,-8.123,0.163,0.0257
1,-7.925,0.145,0.0294
0,-3.106,2.8e-06,0.0625
1,-12.733,0.514,0.0388
1,-9.75,0.316,0.037
0,-6.5,0.0292,0.223
0,-6.596,0.00249,0.226
0,-9.246,0.464,0.0296
0,-4.768,0.451,0.368
1,-5.875,0.625,0.0297
1,-11.934,0.983,0.0515
1,-14.468,0.375,0.0804
0,-6.02,0.0133,0.159
1,-8.154,0.517,0.029
1,-7.042,0.166,0.0349
0,-8.845,0.00883,0.0409
1,-7.897,0.477,0.0451
1,-6.446,0.275,0.22
1,-6.812,0.709,0.0692
1,-7.988,0.479,0.0565
1,-7.097,0.583,0.0323
1,-4.992,0.314,0.0599
1,-12.301,0.587,0.0498
1,-5.796,0.0548,0.0274
1,-6.28,0.421,0.0787
1,-5.695,0.189,0.0321
1,-10.362,0.849,0.0379
0,-9.147,0.00926,0.165
0,-4.268,0.108,0.266
1,-9.691,0.85,0.0302
1,-17.848,0.975,0.0292
1,-5.633,0.293,0.0834
1,-15.523,0.313,0.037
0,-12.466,0.76,0.275
0,-2.597,0.00129,0.0594
1,-10.202,0.365,0.0584
0,-4.527,0.00016,0.0548
1,-15.274,0.194,0.0549
1,-5.024,0.259,0.0323
0,-9.971,0.926,0.0412
1,-7.756,0.741,0.0372
1,-10.035,0.375,0.0279
1,-7.028,0.624,0.0442
0,-9.5,0.91,0.0781
0,-13.959,0.594,0.364
0,-3.42,0.0632,0.065
1,-12.703,0.895,0.0354
1,-18.539,0.934,0.041
1,-7.555,0.842,0.0273
0,-12.516,0.325,0.0483
1,-8.993,0.22,0.0464
1,-8.755,0.416,0.0345
0,-15.15,0.843,0.353
1,-7.115,0.0941,0.0289
1,-5.768,0.0792,0.0234
0,-4.444,0.0154,0.268
1,-8.021,0.42,0.0354
1,-6.612,0.000358,0.046
0,-6.994,0.00734,0.205
1,-9.261,0.275,0.0742
1,-22.826,0.99,0.0423
0,-3.107,0.401,0.0273
0,-4.542,1.17e-06,0.0867
0,-4.603,0.00338,0.204
1,-9.115,0.0857,0.0734
1,-6.515,0.452,0.447
1,-4.084,0.00216,0.0598
1,-9.832,0.913,0.0502
0,-5.975,0.0403,0.0943
1,-4.788,0.0767,0.0374
0,-5.221,0.435,0.0647
1,-14.584,0.496,0.0293
0,-6.018,0.285,0.223
0,-7.02,0.147,0.431
1,-7.601,0.0529,0.0449
0,-8.101,0.064,0.0679
0,-5.864,0.161,0.0757
1,-17.148,0.756,0.0379
1,-5.174,0.0318,0.0248
1,-4.712,0.00228,0.0847
1,-14.525,0.889,0.0423
0,-6.332,0.0988,0.122
1,-6.942,0.753,0.0304
1,-4.902,0.079,0.125
0,-3.928,0.0325,0.268
1,-12.776,0.805,0.143
0,-2.274,0.00403,0.0918
1,-3.906,0.182,0.032
0,-4.293,0.202,0.105
1,-5.579,0.0173,0.0377
0,-4.993,2.04e-06,0.109
1,-5.176,0.212,0.0843
1,-13.674,0.622,0.0271
0,-5.012,0.00635,0.0405
1,-8.04,0.476,0.0287
0,-6.107,0.000986,0.322
0,-3.869,0.00898,0.511
1,-27.473,0.976,0.0427
0,-3.952,0.116,0.0366
0,-5.811,0.00582,0.134
1,-7.059,0.115,0.036
0,-2.776,0.137,0.0638
0,-4.757,0.0193,0.13
0,-5.013,0.00205,0.0415
1,-8.356,0.908,0.0502
0,-10.237,0.324,0.0278
1,-7.042,0.166,0.0349
1,-14.012,0.481,0.0409
1,-13.648,0.734,0.0358
1,-8.118,0.791,0.0308
1,-4.867,0.0284,0.0318
1,-10.362,0.849,0.0379
1,-5.012,0.0262,0.0466
1,-4.812,0.367,0.0723
0,-4.459,0.129,0.0897
0,-2.218,0.2,0.0687
1,-9.6,0.709,0.0415
1,-10.581,0.938,0.034
1,-9.969,0.721,0.401
0,-3.823,0.0194,0.0415
0,-5.789,0.14,0.0317
1,-20.631,0.839,0.0327
1,-7.408,0.335,0.0324
1,-28.55,0.941,0.0483
1,-27.421,0.99,0.0414
0,-8.049,0.0838,0.289
0,-2.482,0.094,0.0424
1,-7.517,0.424,0.0357
0,-6.107,0.000986,0.322
1,-7.133,0.347,0.0393
1,-10.42,0.209,0.0328
0,-10.062,0.103,0.106
0,-4.295,0.00196,0.0983
0,-11.895,0.912,0.371
1,-12.429,0.832,0.0328
1,-25.335,0.952,0.0475
0,-5.564,0.0117,0.264
0,-5.725,0.624,0.0581
0,-3.95,0.00446,0.246
0,-5.417,0.0659,0.287
0,-6.025,0.0318,0.0652
1,-8.377,0.434,0.0452
0,-3.772,0.176,0.215
0,-5.608,0.0831,0.221
0,-7.399,0.163,0.178
1,-12.935,0.893,0.041
1,-5.853,0.00587,0.0403
1,-16.031,0.86,0.0381
1,-15.56,0.0884,0.0315
0,-8.091,0.11,0.244
0,-3.46,0.178,0.226
1,-12.645,0.213,0.0389
1,-9.466,0.602,0.0237
1,-6.639,0.19,0.0267
1,-11.884,0.57,0.0439
0,-7.934,0.802,0.376
1,-15.878,0.846,0.0396
1,-22.807,0.977,0.0431
1,-10.993,0.0749,0.0278
0,-6.972,0.279,0.0357
0,-5.886,0.00784,0.0532
1,-4.663,0.0743,0.0349
1,-4.941,0.448,0.0291
1,-3.668,0.000226,0.0361
0,-2.591,0.0019,0.132
0,-6.939,0.0993,0.162
1,-5.853,0.00587,0.0403
0,-5.241,0.0512,0.122
0,-5.031,2.74e-06,0.124
0,-6.338,0.0311,0.2
1,-7.965,0.48,0.0307
1,-5.727,0.461,0.0271
0,-4.819,0.397,0.206
0,-5.778,0.293,0.213
0,-4.115,0.669,0.206
1,-5.791,0.00225,0.0791
0,-4.556,0.0125,0.0396
0,-7.577,0.0359,0.0539
1,-5.896,0.121,0.0666
0,-2.597,0.000123,0.0445
1,-6.015,0.267,0.0275
0,-6.649,0.197,0.0452
1,-14.162,0.29,0.0675
1,-7.353,0.0478,0.196
1,-29.601,0.994,0.0693
1,-5.871,0.0276,0.0359
1,-17.988,0.383,0.0333
1,-8.179,0.531,0.119
0,-2.79,0.0023,0.0394
0,-3.975,0.0876,0.307
0,-7.361,0.194,0.0482
1,-4.292,0.107,0.0453
0,-3.76,0.457,0.0297
0,-14.334,0.514,0.0368
1,-7.858,0.00311,0.0935
1,-16.535,0.938,0.0406
1,-19.265,0.927,0.0371
0,-5.687,0.124,0.239
1,-6.729,0.325,0.0397
1,-10.322,0.632,0.0392
1,-9.653,0.0261,0.0407
0,-12.044,0.491,0.369
1,-10.313,0.884,0.0611
1,-10.717,0.874,0.104
1,-25.777,0.992,0.041
0,-4.735,0.0866,0.217
0,-4.831,0.000402,0.119
0,-3.225,0.0164,0.0868
1,-13.174,0.608,0.0417
1,-16.599,0.491,0.0407
1,-8.867,0.357,0.0362
1,-9.544,0.862,0.0421
0,-3.003,0.0781,0.0521
0,-8.558,0.000107,0.356
1,-11.164,0.816,0.0411
0,-4.91,0.059,0.0812
1,-7.598,0.0144,0.0474
1,-14.58,0.0601,0.0349
0,-6.813,0.0185,0.353
0,-6.281,0.201,0.0276
0,-5.761,0.0144,0.271
1,-12.904,0.881,0.036
1,-5.599,0.00583,0.0361
1,-4.774,0.0624,0.0581
1,-8.143,0.171,0.156
0,-5.503,0.135,0.3
0,-10.002,0.00213,0.0445
1,-8.157,0.393,0.052
0,-3.599,6.64e-05,0.248
1,-8.363,0.116,0.0848
1,-19.798,0.994,0.0534
0,-2.097,3.11e-05,0.171
1,-11.219,0.921,0.0296
1,-9.143,0.311,0.0287
0,-6.699,0.142,0.253
0,-8.56,0.00484,0.197
1,-8.023,0.441,0.0411
1,-4.638,0.15,0.0331
1,-15.219,0.491,0.036
1,-11.957,0.821,0.0433
1,-5.922,0.112,0.0313
0,-7.603,0.276,0.567
1,-10.345,0.000199,0.0378
1,-13.825,0.768,0.139
0,-2.519,0.284,0.0519
1,-6.751,0.808,0.0768
0,-5.117,0.0689,0.0452
1,-10.648,0.741,0.0478
1,-6.788,0.714,0.0452
1,-5.643,0.733,0.142
1,-3.586,0.000961,0.0646
1,-22.027,0.984,0.0484
0,-2.705,0.00446,0.0516
1,-9.633,0.775,0.029
0,-6.753,0.00422,0.458
1,-9.065,0.0385,0.0931
0,-4.653,0.0141,0.286
0,-4.113,0.00419,0.0704
1,-22.814,0.887,0.0367
1,-5.589,0.0435,0.0339
1,-6.887,0.506,0.0322
1,-14.287,0.877,0.0447
1,-6.035,0.696,0.136
1,-28.841,0.878,0.0405
0,-10.013,0.353,0.228
1,-6.283,0.155,0.0354
1,-7.896,0.704,0.0243
1,-20.931,0.805,0.0385
0,-3.438,0.0743,0.0515
0,-3.522,0.194,0.175
1,-7.679,0.737,0.0365
1,-10.563,0.288,0.0634
1,-19.978,0.885,0.039
0,-14.518,0.0592,0.0297
1,-8.379,0.296,0.315
1,-8.717,0.713,0.0385
1,-9.088,0.27,0.0259
0,-6.155,0.000878,0.0936
0,-4.223,0.00126,0.159
0,-3.041,0.0341,0.244
1,-14.114,0.823,0.0339
1,-22.696,0.99,0.0338
1,-10.442,0.0229,0.0866
0,-5.278,0.0016,0.0425
0,-3.335,0.0507,0.146
1,-11.961,0.639,0.0358
1,-7.198,0.673,0.0775
1,-4.702,0.302,0.0399
1,-9.919,0.813,0.0295
0,-3.489,0.0193,0.359
1,-4.096,0.609,0.0334
0,-7.668,0.0126,0.0844
0,-5.915,0.196,0.0721
1,-5.092,0.0121,0.0433
1,-20.21,0.987,0.0393
0,-4.803,0.031,0.367
0,-2.411,0.00559,0.335
1,-12.504,0.633,0.0283
1,-7.301,0.201,0.118
0,-5.434,0.019,0.327
0,-3.016,0.00116,0.337
1,-9.664,0.905,0.0478
1,-6.06,0.379,0.0299
0,-4.213,0.102,0.0444
0,-7.549,0.202,0.157
1,-6.865,0.162,0.0416
1,-7.795,0.195,0.0436
1,-7.868,0.125,0.351
1,-11.002,0.124,0.101
0,-4.108,0.000175,0.0556
0,-3.293,0.00197,0.0543
1,-7.631,0.916,0.0327
1,-6.892,0.168,0.0373
1,-5.056,0.0155,0.0349
